reference_number,color_and_brick,quantity,set_number
30374,"Black Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116604 or 3037426 or 4140303
",2,7261
4735,"Black Bar 1 x 3 with Clip and Stud Receptacle (Robot Arm)Catalog: Parts: Bar4141580
",2,7261
2436,"Black Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243626 or 4282746
",2,7261
3622,"Black Brick 1 x 3Catalog: Parts: Brick362226
",4,7261
4733,"Black Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified473326
",1,7261
3062b,"Black Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306226
",1,7261
3941,"Black Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round614326
",1,7261
3938,"Black Hinge Brick 1 x 2 Top PlateCatalog: Parts: Hinge393826
",4,7261
40902,"Black Hinge Brick 2 x 2 Locking with 2 Fingers Vertical and Axle Hole, 9 TeethCatalog: Parts: Hinge4162235
",12,7261
30553,"Black Hinge Cylinder 1 x 2 Locking with 2 Fingers, 9 Teeth and Axle Hole on Ends with SlotsCatalog: Parts: Hinge4143372
",1,7261
41532,"Black Hinge Cylinder 1 x 3 Locking with 1 Finger and Pin with Round Hole and Friction Ridges Lengthwise on EndsCatalog: Parts: Hinge4159335
",12,7261
4360,"Black Minifigure, Utensil Camera with Side Sight (Space Gun)Catalog: Parts: Minifigure, Utensil436026
",1,7261
30031,"Black Minifigure, Utensil HandlebarsCatalog: Parts: Minifigure, Utensil3003126
",1,7261
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",3,7261
3666,"Black Plate 1 x 6Catalog: Parts: Plate366626
",9,7261
3034,"Black Plate 2 x 8Catalog: Parts: Plate303426
",3,7261
2445,"Black Plate 2 x 12Catalog: Parts: Plate244526
",2,7261
3794a,"Black Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379426
",4,7261
4623a,"Black Plate, Modified 1 x 2 with Bar Arm Up (Horizontal Arm 6mm)Catalog: Parts: Plate, Modified462326
",2,7261
2540,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified254026 or 4140588
",1,7261
4032b,"Black Plate, Round 2 x 2 with Axle Hole (x Shape)Catalog: Parts: Plate, Round403226
",1,7261
3048c,"Black Slope 45 2 x 1 Triple with Inside BarCatalog: Parts: Slope304826
",1,7261
3747a,"Black Slope, Inverted 33 3 x 2 without Connections between StudsCatalog: Parts: Slope, Inverted4500458 or 374726
",2,7261
3708,"Black Technic, Axle 12LCatalog: Parts: Technic, Axle370826
",1,7261
6536,"Black Technic, Axle and Pin Connector PerpendicularCatalog: Parts: Technic, Connector6261371 or 4173668 or 653626
",9,7261
32184,"Black Technic, Axle and Pin Connector Perpendicular 3L with Center Pin HoleCatalog: Parts: Technic, Connector6276951 or 4121667
",2,7261
32000,"Black Technic, Brick 1 x 2 with HolesCatalog: Parts: Technic, Brick3200026
",2,7261
32316,"Black Technic, Liftarm Thick 1 x 5Catalog: Parts: Technic, Liftarm4142135
",4,7261
6558,"Black Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin655826
",7,7261
32054,"Black Technic, Pin 3L with Friction Ridges Lengthwise and Stop BushCatalog: Parts: Technic, Pin6321745 or 3205426 or 4140801 or 4107742
",4,7261
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",30,7261
32124,"Black Technic, Plate 1 x 5 with Smooth Ends, 4 Studs and Center Axle HoleCatalog: Parts: Technic, Plate6280168 or 4114689
",2,7261
6636,"Black Tile 1 x 6Catalog: Parts: Tile663626
",10,7261
2555,"Black Tile, Modified 1 x 1 with ClipCatalog: Parts: Tile, Modified6030718 or 255526
",2,7261
3680c02(inv),"Black Turntable 2 x 2 Plate with Light Bluish Gray Top (3680 / 3679)Catalog: Parts: Turntable4221774
",2,7261
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",20,7261
553b,"Copper Brick, Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + OrientationCatalog: Parts: Brick, Round4258065
",2,7261
6190,"Dark Bluish Gray Bar 1 x 3 with 2 Stud Receptacles (Radio Handle, Phone Handset)Catalog: Parts: Bar4210676
",6,7261
4732,"Dark Bluish Gray Bracket 8 x 2 x 1 1/3Catalog: Parts: Bracket4258309
",1,7261
2465,"Dark Bluish Gray Brick 1 x 16Catalog: Parts: Brick4210783
",2,7261
3003,"Dark Bluish Gray Brick 2 x 2Catalog: Parts: Brick4211060
",2,7261
2456,"Dark Bluish Gray Brick 2 x 6Catalog: Parts: Brick4210875
",13,7261
30236,"Dark Bluish Gray Brick, Modified 1 x 2 with Bar HandleCatalog: Parts: Brick, Modified4211128
",1,7261
4740,"Dark Bluish Gray Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish4211010
",5,7261
3960,"Dark Bluish Gray Dish 4 x 4 Inverted (Radar) with Solid StudCatalog: Parts: Dish4223981
",5,7261
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",3,7261
44302a,"Dark Bluish Gray Hinge Plate 1 x 2 Locking with 2 Fingers on End and 9 Teeth with Bottom GrooveCatalog: Parts: Hinge4210884
",2,7261
30304,"Dark Bluish Gray Minifigure, Utensil Binoculars SpaceCatalog: Parts: Minifigure, Utensil4211124
",1,7261
30162,"Dark Bluish Gray Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil4587887 or 4211051
",4,7261
30132,"Dark Bluish Gray Minifigure, Weapon Gun, Pistol Revolver - Large BarrelCatalog: Parts: Minifigure, Weapon6056822 or 4569113 or 4211029
",2,7261
3623,"Dark Bluish Gray Plate 1 x 3Catalog: Parts: Plate4211133
",4,7261
3022,"Dark Bluish Gray Plate 2 x 2Catalog: Parts: Plate4211094
",16,7261
3795,"Dark Bluish Gray Plate 2 x 6Catalog: Parts: Plate4211002
",4,7261
6019,"Dark Bluish Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified4216973
",16,7261
4510,"Dark Bluish Gray Plate, Modified 1 x 8 with Door RailCatalog: Parts: Plate, Modified4210967
",1,7261
